,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Method,br.....config.JwtTokenProvider.validateToken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,13,,,,2,,,,11,,,2,7,0,,,,8,3,0,4,7,2,,,6,,,3,3,3,3,3,,,,,3,,2,3,,,0.00,3,3,3,3
Public Class,br.....config.UserDetailsCustom,2,2,2,1,9,1,8,0,2,7,7,0,,0,0,,,,1,1,,,,1,1,0,0,0,1,,18,,,,5,,,,13,,,6,5,0,,,,,,,4,7,4,,,4,,,,,,,,2,2,2,1,,1,1,,0,0,0.00,2,2,2,1
Public Method,br.....config.UserDetailsCustom.loadUserByUsername,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,,,,1,,,,8,,,2,5,0,,,,2,2,0,3,5,2,,,4,,,2,2,2,1,2,,,,,0,,1,0,,,0.00,2,2,2,1
Public Class,br.....config.WebSecurityConfig,1,1,1,1,11,0,11,1,1,10,10,0,,0,0,,,,2,1,,,,2,2,0,0,1,1,,34,,,,5,,,,29,,,8,18,3,,,,,,,3,6,4,,,2,,,,,,,,1,1,1,1,,2,0,,50,50,0.10,2,2,2,2
Public Method,br.....config.WebSecurityConfig.authenticationManagerBean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,,,,0,,,,3,,,1,1,0,,,,2,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Protected Method,br.....config.WebSecurityConfig.configure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,19,,,,0,,,,19,,,1,17,3,,,,16,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.16,1,1,1,1
Package,br.....controller,1,1,1,1,5,0,5,0,,,,,22,0,0,,22,,120,37,,,,120,,0,0,0,120,,1593,,,,294,,,,1288,,,769,386,11,,,,,,,647,834,533,,,350,,,,,,,,14,14,14,3,,,1,,,,0.01,194,194,194,122
Public Class,br.....controller.AcaoController,1,1,1,1,7,0,7,0,1,16,16,0,,0,0,,,,5,2,,,,5,5,0,0,0,5,,52,,,,7,,,,45,,,17,21,0,,,,,,,19,28,9,,,20,,,,,,,,2,2,2,1,,1,1,,50,50,0.00,8,8,8,5
Public Method,br.....controller.AcaoController.atualizar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,12,,,,0,,,,12,,,2,9,0,,,,15,2,0,8,10,2,,,9,,,2,2,2,1,1,,,,,0,,1,0,,,0.00,2,2,2,1
Public Method,br.....controller.AcaoController.cadastrar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,,,,0,,,,5,,,1,3,0,,,,7,1,0,3,4,1,,,3,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,br.....controller.AcaoController.delete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,,,,0,,,,4,,,1,2,0,,,,2,1,0,2,3,1,,,2,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,br.....controller.AcaoController.findById,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,,,,0,,,,7,,,1,4,0,,,,4,2,0,2,4,1,,,3,,,2,2,2,1,1,,,,,0,,1,0,,,0.00,2,2,2,1
Public Method,br.....controller.AcaoController.findByUsuario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,,,,0,,,,7,,,2,3,0,,,,5,2,0,2,4,1,,,3,,,2,2,2,1,0,,,,,0,,1,0,,,0.00,2,2,2,1
Public Class,br.....controller.AreaAtuacaoController,1,1,1,1,5,0,5,0,1,14,14,0,,0,0,,,,4,2,,,,4,4,0,0,0,4,,37,,,,6,,,,31,,,13,11,0,,,,,,,11,18,7,,,11,,,,,,,,2,2,2,1,,1,1,,37,37,0.00,6,6,6,4
Public Method,br.....controller.AreaAtuacaoController.atualizar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,,,,0,,,,8,,,1,5,0,,,,9,2,0,4,6,1,,,5,,,2,2,2,1,1,,,,,0,,1,0,,,0.00,2,2,2,1
Public Method,br.....controller.AreaAtuacaoController.delete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,,,,0,,,,4,,,1,2,0,,,,2,1,0,2,3,1,,,2,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,br.....controller.AreaAtuacaoController.findByPlano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,,,,0,,,,6,,,1,3,0,,,,4,2,0,2,4,1,,,3,,,2,2,2,1,0,,,,,0,,1,0,,,0.00,2,2,2,1
Public Method,br.....controller.AreaAtuacaoController.save,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,0,,,,3,,,1,1,0,,,,4,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Class,br.....controller.AuthController,2,2,2,1,17,2,15,0,1,15,15,0,,0,0,,,,1,3,,,,1,1,0,0,0,1,,33,,,,9,,,,24,,,13,12,0,,,,,,,13,16,9,,,11,,,,,,,,2,2,2,1,,1,1,,0,0,0.00,2,2,2,1
Public Method,br.....controller.AuthController.signin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,17,,,,2,,,,15,,,5,12,0,,,,10,2,0,10,12,5,,,11,,,2,2,2,1,1,,,,,0,,1,0,,,0.00,2,2,2,1
Public Class,br.....controller.AuthenticationRequest,1,1,1,1,3,0,3,0,2,1,1,0,,0,0,,,,7,2,,,,7,7,0,0,0,7,,35,,,,10,,,,25,,,10,7,0,,,,,,,9,17,10,,,7,,,,,,,,1,1,1,1,,1,0,,50,50,0.00,7,7,7,7
Public Constructor,br.....controller.AuthenticationRequest.AuthenticationRequest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,,,,1,,,,2,,,1,0,0,,,,1,1,0,0,1,1,,,0,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Constructor,br.....controller.AuthenticationRequest.AuthenticationRequest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,,,0,,,,4,,,1,2,0,,,,3,1,0,2,3,1,,,2,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,br.....controller.AuthenticationRequest.getEmail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,0,,,,3,,,1,1,0,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,br.....controller.AuthenticationRequest.getPassword,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,0,,,,3,,,1,1,0,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,br.....controller.AuthenticationRequest.getUsername,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,0,,,,3,,,1,1,0,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,br.....controller.AuthenticationRequest.setEmail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,0,,,,3,,,1,1,0,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,br.....controller.AuthenticationRequest.setPassword,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,0,,,,3,,,1,1,0,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Class,br.....controller.AvaliacaoControleController,1,1,1,1,5,0,5,0,1,18,18,0,,0,0,,,,6,2,,,,6,6,0,0,0,6,,58,,,,10,,,,48,,,22,18,0,,,,,,,17,27,11,,,18,,,,,,,,2,2,2,1,,1,1,,41,41,0.00,9,9,9,6
Public Method,br.....controller.AvaliacaoControleController.atualizar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,,,,0,,,,9,,,1,6,0,,,,11,2,0,5,7,1,,,6,,,2,2,2,1,1,,,,,0,,1,0,,,0.00,2,2,2,1
Public Method,br.....controller.AvaliacaoControleController.cadastrar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,0,,,,3,,,1,1,0,,,,4,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
