,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Public Method,br.....config.MinioPorperties.getAccesskey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,0,,,,3,,,1,1,0,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
,,Public Method,br.....config.MinioPorperties.getBucketName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,0,,,,3,,,1,1,0,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
,,Public Method,br.....config.MinioPorperties.getEndpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,0,,,,3,,,1,1,0,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
,,Public Method,br.....config.MinioPorperties.getPort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,0,,,,3,,,1,1,0,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
,,Public Method,br.....config.MinioPorperties.getSecretkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,0,,,,3,,,1,1,0,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
,,Public Method,br.....config.MinioPorperties.setAccesskey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,0,,,,3,,,1,1,0,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
,,Public Method,br.....config.MinioPorperties.setBucketName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,0,,,,3,,,1,1,0,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
,,Public Method,br.....config.MinioPorperties.setEndpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,0,,,,3,,,1,1,0,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
,,Public Method,br.....config.MinioPorperties.setPort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,0,,,,3,,,1,1,0,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
,,Public Method,br.....config.MinioPorperties.setSecretkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,0,,,,3,,,1,1,0,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
,,Public Class,br.....config.UserDetailsCustom,2,2,2,1,9,1,8,0,2,7,7,0,,0,0,,,,1,1,,,,1,1,0,0,0,1,,16,,,,3,,,,13,,,6,5,0,,,,,,,4,7,4,,,4,,,,,,,,2,2,2,1,,1,1,,0,0,0.00,2,2,2,1
,,Public Method,br.....config.UserDetailsCustom.loadUserByUsername,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,,,,1,,,,8,,,2,5,0,,,,2,2,0,3,5,2,,,4,,,2,2,2,1,2,,,,,0,,1,0,,,0.00,2,2,2,1
,,Public Class,br.....config.WebMvcConfigurer,1,1,1,1,7,1,6,1,1,2,2,0,,0,0,,,,1,0,,,,1,1,0,0,1,0,,12,,,,3,,,,9,,,3,4,1,,,,,,,2,4,2,,,2,,,,,,,,1,1,1,1,,2,0,,0,0,0.11,1,1,1,1
,,Protected Method,br.....config.WebMvcConfigurer.addResourceHandlers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,,,,1,,,,6,,,1,4,1,,,,2,1,0,2,3,1,,,2,,,1,1,1,1,0,,,,,0,,0,0,,,0.17,1,1,1,1
,,Public Class,br.....config.WebSecurityConfig,1,1,1,1,11,0,11,1,1,10,10,0,,0,0,,,,2,1,,,,2,2,0,0,1,1,,34,,,,5,,,,29,,,8,18,3,,,,,,,3,6,4,,,2,,,,,,,,1,1,1,1,,2,0,,50,50,0.10,2,2,2,2
,,Public Method,br.....config.WebSecurityConfig.authenticationManagerBean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,,,,0,,,,3,,,1,1,0,,,,2,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
